image_id,level,dataset,partition,prompt_strategy
000000507927,3.0,coco-2017,calibration,zeroshot
000000361924,3.0,coco-2017,calibration,zeroshot
000000577821,1.0,coco-2017,calibration,zeroshot
000000545679,2.0,coco-2017,calibration,zeroshot
000000316269,3.0,coco-2017,calibration,zeroshot
000000492435,2.0,coco-2017,calibration,zeroshot
000000437994,2.0,coco-2017,calibration,zeroshot
000000468428,2.0,coco-2017,calibration,zeroshot
000000432019,3.0,coco-2017,calibration,zeroshot
000000237263,3.0,coco-2017,calibration,zeroshot
000000434183,2.0,coco-2017,calibration,zeroshot
000000579947,2.0,coco-2017,calibration,zeroshot
000000343954,3.0,coco-2017,calibration,zeroshot
000000556278,3.0,coco-2017,calibration,zeroshot
000000171970,2.0,coco-2017,calibration,zeroshot
000000377809,3.0,coco-2017,calibration,zeroshot
000000478880,1.0,coco-2017,calibration,zeroshot
000000476331,2.0,coco-2017,calibration,zeroshot
000000031653,1.0,coco-2017,calibration,zeroshot
000000048289,2.0,coco-2017,calibration,zeroshot
000000264599,3.0,coco-2017,calibration,zeroshot
000000073235,2.0,coco-2017,calibration,zeroshot
000000135348,3.0,coco-2017,calibration,zeroshot
000000225337,2.0,coco-2017,calibration,zeroshot
000000162682,2.0,coco-2017,calibration,zeroshot
000000204339,3.0,coco-2017,calibration,zeroshot
000000289816,2.0,coco-2017,calibration,zeroshot
000000521225,3.0,coco-2017,calibration,zeroshot
000000276975,2.0,coco-2017,calibration,zeroshot
000000159561,2.0,coco-2017,calibration,zeroshot
000000538615,3.0,coco-2017,calibration,zeroshot
000000093419,3.0,coco-2017,calibration,zeroshot
000000053339,3.0,coco-2017,calibration,zeroshot
000000346503,3.0,coco-2017,calibration,zeroshot
000000345155,2.0,coco-2017,calibration,zeroshot
000000274528,3.0,coco-2017,calibration,zeroshot
000000363494,2.0,coco-2017,calibration,zeroshot
000000028682,1.0,coco-2017,calibration,zeroshot
000000069884,2.0,coco-2017,calibration,zeroshot
000000228215,2.0,coco-2017,calibration,zeroshot
000000372363,3.0,coco-2017,calibration,zeroshot
000000404229,,coco-2017,calibration,zeroshot
000000408779,3.0,coco-2017,calibration,zeroshot
000000481113,1.0,coco-2017,calibration,zeroshot
000000035076,1.0,coco-2017,calibration,zeroshot
000000075065,2.0,coco-2017,calibration,zeroshot
000000249982,2.0,coco-2017,calibration,zeroshot
000000033891,3.0,coco-2017,calibration,zeroshot
000000077750,2.0,coco-2017,calibration,zeroshot
000000117337,3.0,coco-2017,calibration,zeroshot
000000500356,2.0,coco-2017,calibration,zeroshot
000000419297,3.0,coco-2017,calibration,zeroshot
000000160652,2.0,coco-2017,calibration,zeroshot
000000557610,2.0,coco-2017,calibration,zeroshot
000000421875,2.0,coco-2017,calibration,zeroshot
000000579629,2.0,coco-2017,calibration,zeroshot
000000151954,3.0,coco-2017,calibration,zeroshot
000000221927,2.0,coco-2017,calibration,zeroshot
000000059744,2.0,coco-2017,calibration,zeroshot
000000214305,2.0,coco-2017,calibration,zeroshot
000000245450,2.0,coco-2017,calibration,zeroshot
000000270912,2.0,coco-2017,calibration,zeroshot
000000081930,3.0,coco-2017,calibration,zeroshot
000000570947,2.0,coco-2017,calibration,zeroshot
000000285342,4.0,coco-2017,calibration,zeroshot
000000099245,1.0,coco-2017,calibration,zeroshot
000000231987,4.0,coco-2017,calibration,zeroshot
000000521711,4.0,coco-2017,calibration,zeroshot
000000339512,2.0,coco-2017,calibration,zeroshot
000000404424,1.0,coco-2017,calibration,zeroshot
000000196170,3.0,coco-2017,calibration,zeroshot
000000388126,1.0,coco-2017,calibration,zeroshot
000000530999,3.0,coco-2017,calibration,zeroshot
000000476993,1.0,coco-2017,calibration,zeroshot
000000393422,1.0,coco-2017,calibration,zeroshot
000000145994,3.0,coco-2017,calibration,zeroshot
000000404546,3.0,coco-2017,calibration,zeroshot
000000447785,2.0,coco-2017,calibration,zeroshot
000000434413,3.0,coco-2017,calibration,zeroshot
000000186405,3.0,coco-2017,calibration,zeroshot
000000316879,3.0,coco-2017,calibration,zeroshot
000000151432,2.0,coco-2017,calibration,zeroshot
000000028506,3.0,coco-2017,calibration,zeroshot
000000057969,1.0,coco-2017,calibration,zeroshot
000000096514,1.0,coco-2017,calibration,zeroshot
000000090137,2.0,coco-2017,calibration,zeroshot
000000299042,2.0,coco-2017,calibration,zeroshot
000000009142,1.0,coco-2017,calibration,zeroshot
000000219842,2.0,coco-2017,calibration,zeroshot
000000330696,3.0,coco-2017,calibration,zeroshot
000000055849,1.0,coco-2017,calibration,zeroshot
000000137072,2.0,coco-2017,calibration,zeroshot
000000390334,2.0,coco-2017,calibration,zeroshot
000000147798,1.0,coco-2017,calibration,zeroshot
000000568653,4.0,coco-2017,calibration,zeroshot
000000113588,3.0,coco-2017,calibration,zeroshot
000000486002,2.0,coco-2017,calibration,zeroshot
000000195896,2.0,coco-2017,calibration,zeroshot
000000161312,3.0,coco-2017,calibration,zeroshot
000000298418,2.0,coco-2017,calibration,zeroshot
000000350514,3.0,coco-2017,calibration,zeroshot
000000203400,1.0,coco-2017,calibration,zeroshot
000000317806,3.0,coco-2017,calibration,zeroshot
000000447765,1.0,coco-2017,calibration,zeroshot
000000213536,2.0,coco-2017,calibration,zeroshot
000000371822,3.0,coco-2017,calibration,zeroshot
000000466533,2.0,coco-2017,calibration,zeroshot
000000185837,2.0,coco-2017,calibration,zeroshot
000000310633,2.0,coco-2017,calibration,zeroshot
000000511393,2.0,coco-2017,calibration,zeroshot
000000020925,3.0,coco-2017,calibration,zeroshot
000000036739,2.0,coco-2017,calibration,zeroshot
