image_id,level,dataset,partition,prompt_strategy
000000338086,3,coco-rem,calibration,zeroshot
000000341111,3,coco-rem,calibration,zeroshot
000000393493,3,coco-rem,calibration,zeroshot
000000372464,3,coco-rem,calibration,zeroshot
000000106199,2,coco-rem,calibration,zeroshot
000000123330,2,coco-rem,calibration,zeroshot
000000169228,3,coco-rem,calibration,zeroshot
000000175513,3,coco-rem,calibration,zeroshot
000000382563,3,coco-rem,calibration,zeroshot
000000477259,3,coco-rem,calibration,zeroshot
000000452783,3,coco-rem,calibration,zeroshot
000000370310,2,coco-rem,calibration,zeroshot
000000131427,3,coco-rem,calibration,zeroshot
000000084881,3,coco-rem,calibration,zeroshot
000000252608,2,coco-rem,calibration,zeroshot
000000163759,3,coco-rem,calibration,zeroshot
000000385705,2,coco-rem,calibration,zeroshot
000000358429,3,coco-rem,calibration,zeroshot
000000179477,2,coco-rem,calibration,zeroshot
000000211217,4,coco-rem,calibration,zeroshot
000000447224,2,coco-rem,calibration,zeroshot
000000105468,3,coco-rem,calibration,zeroshot
000000057892,3,coco-rem,calibration,zeroshot
000000281431,3,coco-rem,calibration,zeroshot
000000027412,3,coco-rem,calibration,zeroshot
000000455363,2,coco-rem,calibration,zeroshot
000000069978,3,coco-rem,calibration,zeroshot
000000445087,2,coco-rem,calibration,zeroshot
000000013355,3,coco-rem,calibration,zeroshot
000000525880,3,coco-rem,calibration,zeroshot
000000351621,2,coco-rem,calibration,zeroshot
000000110642,3,coco-rem,calibration,zeroshot
000000291898,3,coco-rem,calibration,zeroshot
000000460038,3,coco-rem,calibration,zeroshot
000000068866,4,coco-rem,calibration,zeroshot
000000385098,4,coco-rem,calibration,zeroshot
000000428263,3,coco-rem,calibration,zeroshot
000000560254,3,coco-rem,calibration,zeroshot
000000581766,2,coco-rem,calibration,zeroshot
000000009668,2,coco-rem,calibration,zeroshot
000000486503,2,coco-rem,calibration,zeroshot
000000397685,2,coco-rem,calibration,zeroshot
000000082957,3,coco-rem,calibration,zeroshot
000000322222,2,coco-rem,calibration,zeroshot
000000298657,2,coco-rem,calibration,zeroshot
000000412510,2,coco-rem,calibration,zeroshot
000000127153,3,coco-rem,calibration,zeroshot
000000389036,2,coco-rem,calibration,zeroshot
000000226494,2,coco-rem,calibration,zeroshot
000000235547,3,coco-rem,calibration,zeroshot
000000015190,4,coco-rem,calibration,zeroshot
000000037638,4,coco-rem,calibration,zeroshot
000000157960,3,coco-rem,calibration,zeroshot
000000087509,3,coco-rem,calibration,zeroshot
000000508430,2,coco-rem,calibration,zeroshot
000000540068,2,coco-rem,calibration,zeroshot
000000329304,3,coco-rem,calibration,zeroshot
000000068235,3,coco-rem,calibration,zeroshot
000000335874,2,coco-rem,calibration,zeroshot
000000572786,3,coco-rem,calibration,zeroshot
000000295269,3,coco-rem,calibration,zeroshot
000000232001,3,coco-rem,calibration,zeroshot
000000498371,2,coco-rem,calibration,zeroshot
000000231460,3,coco-rem,calibration,zeroshot
000000209292,3,coco-rem,calibration,zeroshot
000000409364,2,coco-rem,calibration,zeroshot
000000293946,3,coco-rem,calibration,zeroshot
000000225281,3,coco-rem,calibration,zeroshot
000000053587,2,coco-rem,calibration,zeroshot
000000210322,3,coco-rem,calibration,zeroshot
000000088540,3,coco-rem,calibration,zeroshot
000000430583,3,coco-rem,calibration,zeroshot
000000524956,4,coco-rem,calibration,zeroshot
000000562008,4,coco-rem,calibration,zeroshot
000000202131,2,coco-rem,calibration,zeroshot
000000332420,2,coco-rem,calibration,zeroshot
000000327368,2,coco-rem,calibration,zeroshot
000000088162,3,coco-rem,calibration,zeroshot
000000173447,2,coco-rem,calibration,zeroshot
000000365353,2,coco-rem,calibration,zeroshot
000000223992,3,coco-rem,calibration,zeroshot
000000265253,3,coco-rem,calibration,zeroshot
000000368541,3,coco-rem,calibration,zeroshot
000000131825,2,coco-rem,calibration,zeroshot
000000007890,2,coco-rem,calibration,zeroshot
000000513946,2,coco-rem,calibration,zeroshot
000000459566,3,coco-rem,calibration,zeroshot
000000318240,3,coco-rem,calibration,zeroshot
000000243171,3,coco-rem,calibration,zeroshot
000000198312,3,coco-rem,calibration,zeroshot
000000385272,3,coco-rem,calibration,zeroshot
000000056193,3,coco-rem,calibration,zeroshot
000000259884,3,coco-rem,calibration,zeroshot
000000450543,3,coco-rem,calibration,zeroshot
000000483923,3,coco-rem,calibration,zeroshot
000000131494,2,coco-rem,calibration,zeroshot
000000406908,3,coco-rem,calibration,zeroshot
000000012700,3,coco-rem,calibration,zeroshot
000000567764,3,coco-rem,calibration,zeroshot
000000320374,3,coco-rem,calibration,zeroshot
000000488796,2,coco-rem,calibration,zeroshot
000000210549,2,coco-rem,calibration,zeroshot
000000298405,3,coco-rem,calibration,zeroshot
000000218762,3,coco-rem,calibration,zeroshot
000000044500,3,coco-rem,calibration,zeroshot
000000191327,3,coco-rem,calibration,zeroshot
000000370121,3,coco-rem,calibration,zeroshot
000000271943,1,coco-rem,calibration,zeroshot
000000256031,3,coco-rem,calibration,zeroshot
000000546480,3,coco-rem,calibration,zeroshot
000000074060,3,coco-rem,calibration,zeroshot
000000526085,3,coco-rem,calibration,zeroshot
000000439486,3,coco-rem,calibration,zeroshot
000000359357,3,coco-rem,calibration,zeroshot
000000417219,3,coco-rem,calibration,zeroshot
000000194921,3,coco-rem,calibration,zeroshot
000000287235,3,coco-rem,calibration,zeroshot
000000492817,2,coco-rem,calibration,zeroshot
000000416202,2,coco-rem,calibration,zeroshot
000000086139,3,coco-rem,calibration,zeroshot
000000105027,2,coco-rem,calibration,zeroshot
000000213268,4,coco-rem,calibration,zeroshot
000000070829,2,coco-rem,calibration,zeroshot
000000430281,2,coco-rem,calibration,zeroshot
000000541493,2,coco-rem,calibration,zeroshot
000000182401,2,coco-rem,calibration,zeroshot
000000334916,3,coco-rem,calibration,zeroshot
000000430319,3,coco-rem,calibration,zeroshot
000000067558,2,coco-rem,calibration,zeroshot
000000080892,3,coco-rem,calibration,zeroshot
000000108862,3,coco-rem,calibration,zeroshot
000000061831,2,coco-rem,calibration,zeroshot
000000137666,3,coco-rem,calibration,zeroshot
000000161897,3,coco-rem,calibration,zeroshot
000000069587,2,coco-rem,calibration,zeroshot
000000124390,2,coco-rem,calibration,zeroshot
000000466197,4,coco-rem,calibration,zeroshot
000000030113,3,coco-rem,calibration,zeroshot
000000512436,3,coco-rem,calibration,zeroshot
000000182527,2,coco-rem,calibration,zeroshot
000000206800,2,coco-rem,calibration,zeroshot
000000103746,3,coco-rem,calibration,zeroshot
000000118277,3,coco-rem,calibration,zeroshot
000000480576,3,coco-rem,calibration,zeroshot
000000098904,3,coco-rem,calibration,zeroshot
000000119787,3,coco-rem,calibration,zeroshot
000000264502,3,coco-rem,calibration,zeroshot
000000301950,3,coco-rem,calibration,zeroshot
000000268739,3,coco-rem,calibration,zeroshot
000000445745,3,coco-rem,calibration,zeroshot
000000042069,3,coco-rem,calibration,zeroshot
000000492183,2,coco-rem,calibration,zeroshot
000000545293,1,coco-rem,calibration,zeroshot
000000244844,3,coco-rem,calibration,zeroshot
000000502197,3,coco-rem,calibration,zeroshot
000000352965,2,coco-rem,calibration,zeroshot
000000118477,3,coco-rem,calibration,zeroshot
000000402759,3,coco-rem,calibration,zeroshot
000000432120,3,coco-rem,calibration,zeroshot
000000288114,2,coco-rem,calibration,zeroshot
000000291788,3,coco-rem,calibration,zeroshot
000000339105,3,coco-rem,calibration,zeroshot
000000099389,1,coco-rem,calibration,zeroshot
000000003729,3,coco-rem,calibration,zeroshot
000000150372,3,coco-rem,calibration,zeroshot
000000018661,4,coco-rem,calibration,zeroshot
000000317935,2,coco-rem,calibration,zeroshot
000000184320,3,coco-rem,calibration,zeroshot
000000010711,3,coco-rem,calibration,zeroshot
000000006101,3,coco-rem,calibration,zeroshot
000000342996,3,coco-rem,calibration,zeroshot
000000390179,3,coco-rem,calibration,zeroshot
000000404929,3,coco-rem,calibration,zeroshot
000000387421,3,coco-rem,calibration,zeroshot
000000165936,3,coco-rem,calibration,zeroshot
000000498436,4,coco-rem,calibration,zeroshot
000000399288,3,coco-rem,calibration,zeroshot
000000081315,3,coco-rem,calibration,zeroshot
000000518858,3,coco-rem,calibration,zeroshot
000000085802,2,coco-rem,calibration,zeroshot
000000121693,3,coco-rem,calibration,zeroshot
000000266518,1,coco-rem,calibration,zeroshot
000000142680,2,coco-rem,calibration,zeroshot
000000471895,2,coco-rem,calibration,zeroshot
000000036433,3,coco-rem,calibration,zeroshot
000000172989,2,coco-rem,calibration,zeroshot
000000543166,4,coco-rem,calibration,zeroshot
000000557922,3,coco-rem,calibration,zeroshot
000000450724,3,coco-rem,calibration,zeroshot
000000298004,2,coco-rem,calibration,zeroshot
000000499168,3,coco-rem,calibration,zeroshot
000000097021,3,coco-rem,calibration,zeroshot
