dataset,image_id,predicted_score
coco-rem,000000000761,0.47577399015426636
coco-rem,000000001591,0.45388951897621155
coco-rem,000000001756,0.38025957345962524
coco-rem,000000001903,0.5861340761184692
coco-rem,000000002179,0.48264047503471375
coco-rem,000000002283,0.4453553259372711
coco-rem,000000002608,0.45002442598342896
coco-rem,000000002764,0.5017039775848389
coco-rem,000000003389,0.6907036304473877
coco-rem,000000003729,0.6418646574020386
coco-rem,000000004309,0.6402480602264404
coco-rem,000000004489,0.5000056028366089
coco-rem,000000004904,0.49734750390052795
coco-rem,000000006101,0.4842314124107361
coco-rem,000000006263,0.6558181643486023
coco-rem,000000006409,0.7155563831329346
coco-rem,000000006426,0.7132911682128906
coco-rem,000000006451,0.6484890580177307
coco-rem,000000006753,0.3573596477508545
coco-rem,000000007625,0.6201950907707214
coco-rem,000000007735,0.5527732372283936
coco-rem,000000007890,0.6156506538391113
coco-rem,000000008006,0.6579346060752869
coco-rem,000000008188,0.437295138835907
coco-rem,000000008599,0.4099440574645996
coco-rem,000000009668,0.5562419295310974
coco-rem,000000010711,0.5923518538475037
coco-rem,000000010785,0.6190648078918457
coco-rem,000000011209,0.4888613224029541
coco-rem,000000011265,0.5690599083900452
coco-rem,000000011320,0.49084800481796265
coco-rem,000000011349,0.6515876054763794
coco-rem,000000012096,0.6058766841888428
coco-rem,000000012455,0.5869573950767517
coco-rem,000000012497,0.6212118864059448
coco-rem,000000012700,0.4138985872268677
coco-rem,000000012884,0.6920751333236694
coco-rem,000000013292,0.5133388638496399
coco-rem,000000013355,0.5028961300849915
coco-rem,000000013900,0.6600003838539124
coco-rem,000000013985,0.5516207218170166
coco-rem,000000014857,0.7159947752952576
coco-rem,000000014941,0.5619797110557556
coco-rem,000000015190,0.6157466769218445
coco-rem,000000015451,0.5822298526763916
coco-rem,000000015586,0.5157082676887512
coco-rem,000000015826,0.5621463656425476
coco-rem,000000015919,0.6745917797088623
coco-rem,000000016362,0.6995980739593506
coco-rem,000000016523,0.5303325057029724
coco-rem,000000017966,0.7027413249015808
coco-rem,000000018267,0.656312108039856
coco-rem,000000018661,0.455157995223999
coco-rem,000000018819,0.7161480784416199
coco-rem,000000019157,0.6863262057304382
coco-rem,000000019375,0.5042358636856079
coco-rem,000000019589,0.46864810585975647
coco-rem,000000019781,0.6490296125411987
coco-rem,000000020781,0.5388374328613281
coco-rem,000000021674,0.6032514572143555
coco-rem,000000021968,0.40954849123954773
coco-rem,000000022403,0.611812174320221
coco-rem,000000022482,0.7247408032417297
coco-rem,000000022593,0.4739696979522705
coco-rem,000000022741,0.5464464426040649
coco-rem,000000023035,0.49311912059783936
coco-rem,000000024264,0.6732421517372131
coco-rem,000000024368,0.5901206135749817
coco-rem,000000024923,0.5723747611045837
coco-rem,000000025123,0.6031850576400757
coco-rem,000000025758,0.4818240702152252
