version_a,version_b,cohort,metric,difference_b_minus_a,ci_low,ci_high,n_valid_bootstrap
16,17,properties,rmse,0.0025845333932490444,-0.0031845182567513067,0.008490878727326455,1000
16,17,properties,mse_skill,-0.01768697093530469,-0.05870189690881823,0.021589053361760757,1000
16,17,properties,auroc_0.25,0.01794181924521432,-0.02514853018365299,0.060691593748060296,1000
16,17,properties,auroc_0.5,-0.007122784420149464,-0.03926497250755559,0.025560727549468587,1000
16,17,properties,auroc_0.75,-0.04546780819308127,-0.09633209069601002,0.003439603412967917,1000
16,17,random,rmse,0.001954443191393762,-0.0014598396919952808,0.005721176920730756,1000
16,17,random,mse_skill,-0.014487663156348085,-0.04240622976445661,0.010830906179468077,1000
16,17,random,auroc_0.25,0.0018483776551287967,-0.029400399281214247,0.03480726609720101,1000
16,17,random,auroc_0.5,-0.01259493864917105,-0.03197484157326852,0.006613970919344896,1000
16,17,random,auroc_0.75,-0.029291333359186322,-0.05199216495098734,-0.007728846511693323,1000
16,18,properties,rmse,0.0002977213822678848,-0.004977069285090944,0.005981967959418727,1000
16,18,properties,mse_skill,-0.0020279168769220535,-0.040933888469946195,0.03349695006744037,1000
16,18,properties,auroc_0.25,0.02132064286829516,-0.01942227611652684,0.06172919394914821,1000
16,18,properties,auroc_0.5,-0.0025991603023837184,-0.03185843583372583,0.02656453626540598,1000
16,18,properties,auroc_0.75,-0.031917514504191336,-0.07420153913903246,0.00910385380070839,1000
16,18,random,rmse,-9.335518800765441e-05,-0.0041473371675974004,0.003922862939559182,1000
16,18,random,mse_skill,0.0006890501685822281,-0.02934639632451738,0.03056348324582214,1000
16,18,random,auroc_0.25,0.015259672689032833,-0.0209438978563164,0.05188218027145649,1000
16,18,random,auroc_0.5,-0.0034868142755449805,-0.0241921985470935,0.016608460172385195,1000
16,18,random,auroc_0.75,-0.02576127932599359,-0.047659559971809144,-0.0031363805404582743,1000
16,ionescu,properties,rmse,-0.013707362523558753,-0.021146166530390118,-0.005570555467253033,1000
16,ionescu,properties,mse_skill,0.09068653390291448,0.0367378414893153,0.13878220238565267,1000
16,ionescu,properties,auroc_0.25,0.049986883898656465,-0.00813732259286983,0.10348838258869994,1000
16,ionescu,properties,auroc_0.5,0.06936979079217631,0.028644884452345816,0.10845724457193023,1000
16,ionescu,properties,auroc_0.75,0.05726131105027332,-0.0037196360360257637,0.1152434488631405,1000
16,ionescu,random,rmse,-0.003459169271323642,-0.008711579514299033,0.0016901180178373104,1000
16,ionescu,random,mse_skill,0.025351567471156855,-0.012567294036023734,0.06256294705081719,1000
16,ionescu,random,auroc_0.25,0.06661500637097184,0.024177861159236043,0.11331936340612381,1000
16,ionescu,random,auroc_0.5,0.04286146463537199,0.016539840074787926,0.06994390614225339,1000
16,ionescu,random,auroc_0.75,0.02152061129596672,-0.00515698816859465,0.050757300808466015,1000
16,ic9600,properties,rmse,0.00466388183907715,-0.0025049913157041913,0.011630147378770406,1000
16,ic9600,properties,mse_skill,-0.03205217914037195,-0.08048524718330446,0.017338749166666053,1000
16,ic9600,properties,auroc_0.25,-0.04196697635052554,-0.09368447596504417,0.013660728241056328,1000
16,ic9600,properties,auroc_0.5,-0.0006603543130516698,-0.03442414832961181,0.03468285567251527,1000
16,ic9600,properties,auroc_0.75,0.015262542258751566,-0.03302491878310047,0.06760939711671221,1000
16,ic9600,random,rmse,0.003544573083039154,-0.0010987626941628519,0.007816851447203467,1000
16,ic9600,random,mse_skill,-0.026362117367145887,-0.058030348952620846,0.008210129669594543,1000
16,ic9600,random,auroc_0.25,-0.02751920401614638,-0.06982405144167611,0.014609686452781677,1000
16,ic9600,random,auroc_0.5,-0.005669748150151754,-0.030352163956348422,0.019039496585426082,1000
16,ic9600,random,auroc_0.75,-0.0014305575266158055,-0.028392560120567126,0.024804096667297947,1000
17,18,properties,rmse,-0.0022868120109811596,-0.0074608248177928825,0.0025459509793628226,1000
17,18,properties,mse_skill,0.015659054058382638,-0.01752073226779535,0.05044506937378173,1000
17,18,properties,auroc_0.25,0.00337882362308084,-0.035610188896234476,0.04052043019924398,1000
17,18,properties,auroc_0.5,0.0045236241177657455,-0.018437289422562862,0.028360561016373152,1000
17,18,properties,auroc_0.75,0.013550293688889936,-0.018161583073023135,0.04831906028998504,1000
17,18,random,rmse,-0.0020477983794014165,-0.005142312422043429,0.0011201305163226812,1000
17,18,random,mse_skill,0.015176713324930313,-0.008205885845066308,0.03827498644340853,1000
17,18,random,auroc_0.25,0.013411295033904036,-0.01507506114610605,0.03983976747931397,1000
17,18,random,auroc_0.5,0.00910812437362607,-0.007319377003903043,0.02594419223833706,1000
17,18,random,auroc_0.75,0.003530054033192731,-0.013118920372954812,0.02190316211129905,1000
17,ionescu,properties,rmse,-0.016291895916807797,-0.024579794044492516,-0.008388994294842016,1000
17,ionescu,properties,mse_skill,0.10837350483821917,0.05558068339489897,0.16114025533541423,1000
17,ionescu,properties,auroc_0.25,0.032045064653442146,-0.023640211358369665,0.08809701324893442,1000
17,ionescu,properties,auroc_0.5,0.07649257521232578,0.03524981010822452,0.11917018964411688,1000
17,ionescu,properties,auroc_0.75,0.1027291192433546,0.03991005530957725,0.1609779071982454,1000
17,ionescu,random,rmse,-0.005413612462717404,-0.011166816530775413,3.372271155784889e-05,1000
17,ionescu,random,mse_skill,0.03983923062750494,-0.00024700385239724267,0.08267946574294982,1000
17,ionescu,random,auroc_0.25,0.06476662871584304,0.016494772843482042,0.11111054655716378,1000
17,ionescu,random,auroc_0.5,0.05545640328454304,0.026732266741138135,0.08377693774791108,1000
17,ionescu,random,auroc_0.75,0.05081194465515304,0.017934826410538538,0.08401648898813148,1000
17,ic9600,properties,rmse,0.0020793484458281053,-0.005925088199214417,0.009971583874175545,1000
17,ic9600,properties,mse_skill,-0.01436520820506726,-0.0685383497151153,0.04156727249882666,1000
17,ic9600,properties,auroc_0.25,-0.05990879559573986,-0.11899554292229657,-1.306839895066183e-05,1000
17,ic9600,properties,auroc_0.5,0.006462430107097794,-0.03465585767050852,0.04846716507232746,1000
17,ic9600,properties,auroc_0.75,0.06073035045183284,0.0011443913099534304,0.12306156285839409,1000
17,ic9600,random,rmse,0.001590129891645392,-0.0033945012492553176,0.006328036386995324,1000
17,ic9600,random,mse_skill,-0.011874454210797802,-0.04757052212957116,0.02539945320101944,1000
17,ic9600,random,auroc_0.25,-0.029367581671275178,-0.07629632012460567,0.016210521339734902,1000
17,ic9600,random,auroc_0.5,0.006925190499019296,-0.019389240432847708,0.03544484983353095,1000
17,ic9600,random,auroc_0.75,0.027860775832570517,-0.0011869577813668512,0.057071480722830456,1000
18,ionescu,properties,rmse,-0.014005083905826637,-0.022201933726671137,-0.0054285125365508054,1000
18,ionescu,properties,mse_skill,0.09271445077983653,0.035782476647129684,0.1463327126174882,1000
18,ionescu,properties,auroc_0.25,0.028666241030361306,-0.024435405270200078,0.08191567103366985,1000
18,ionescu,properties,auroc_0.5,0.07196895109456003,0.028839056614743164,0.11091768748751624,1000
18,ionescu,properties,auroc_0.75,0.08917882555446466,0.03217615404940942,0.1445960836802993,1000
18,ionescu,random,rmse,-0.0033658140833159877,-0.008952821727088854,0.002158449880807153,1000
18,ionescu,random,mse_skill,0.024662517302574627,-0.015947302835161853,0.06571649305077445,1000
18,ionescu,random,auroc_0.25,0.05135533368193901,0.0030800299124897684,0.09794791049477736,1000
18,ionescu,random,auroc_0.5,0.046348278910916973,0.019312577141413073,0.07314312729102307,1000
18,ionescu,random,auroc_0.75,0.04728189062196031,0.018339784514533063,0.0778827481296103,1000
18,ic9600,properties,rmse,0.004366160456809265,-0.003803046215658922,0.012314499927517061,1000
18,ic9600,properties,mse_skill,-0.030024262263449897,-0.08475223859257927,0.0265801542233105,1000
